sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns
CESO_DES-1-M2,4090,18143,4.436,5.116
CESO_DES-1-M3,1256,4551,3.623,3.857
CESO_DES-10-M1,325,2435,7.492,9.997
CESO_DES-10-M2,452,1438,3.181,3.719
CESO_DES-10-M3,4692,29073,6.196,7.336
CESO_DES-11-M1,1436,8231,5.732,6.838
CESO_DES-11-M2,96,307,3.198,3.253
CESO_DES-11-M3,14677,444973,30.318,45.908
CESO_DES-12-M2,9288,57748,6.217,7.062
CESO_DES-12-M3,11126,121883,10.955,13.738
CESO_DES-13-M2,11630,126391,10.868,15.016
CESO_DES-13-M3,8808,72450,8.225,9.562
CESO_DES-14-M1,17,22,1.294,1.027
CESO_DES-14-M2,651,5327,8.183,10.867
CESO_DES-14-M3,16528,533580,32.283,50.524
CESO_DES-15-M1,347,1513,4.36,5.136
CESO_DES-15-M2,11909,100054,8.402,11.456
CESO_DES-17-M2,12940,187744,14.509,18.312
CESO_DES-19-M1,15,26,1.733,1.809
CESO_DES-19-M2,12622,120195,9.523,12.81
CESO_DES-19-M3,6360,35356,5.559,6.109
CESO_DES-20-M2,614,2512,4.091,4.474
CESO_DES-3-M1,1633,20166,12.349,16.619
CESO_DES-3-M3,27254,818710,30.04,64.201
CESO_DES-4-M2,8934,68293,7.644,9.575
CESO_DES-5-M1,2,6,3,3.523
CESO_DES-5-M2,4379,24188,5.524,6.134
CESO_DES-5-M3,569,1135,1.995,2.324
CESO_DES-6-M1,334,502,1.503,1.674
CESO_DES-6-M2,24,35,1.458,1.304
CESO_DES-6-M3,4911,24414,4.971,5.713
CESO_DES-7-M2,10353,61739,5.963,7.855
CESO_DES-7-M3,13657,456811,33.449,49.798
CESO_DES-8-M1,902,4192,4.647,5.477
CESO_DES-8-M2,6423,33304,5.185,6.133
CESO_DES-8-M3,89,233,2.618,3.007
CESO_DES-9-M1,2229,23752,10.656,13.521
CESO_DES-9-M2,10623,192528,18.124,25.941
CESO_GR20-11-M1,1067,4743,4.445,5.076
CESO_GR20-11-M2,8581,66655,7.768,9.671
CESO_GR20-11-M3,20403,1095903,53.713,91.718
CESO_Tk23-12-10,23224,1732219,74.587,122.86
CESO_Tk23-15-4,11878,90530,7.622,9.393
CESO_Tk23-17-6b,13891,116436,8.382,11.12
CESO_Tk23-21-10,10469,80370,7.677,9.169
CESO_Tk23-26-10,11124,95924,8.623,10.839
CESO_Tk23-3-10C,25409,4101398,161.415,300.028
CESO_Tk23-4-11,8016,43197,5.389,6.241
CESO_Tk23-5-10,28348,4629509,163.31,307.42
CESO_Tk23-6-10C,19198,717839,37.391,56.084
CESO_Tk23-7-10,12526,109345,8.729,11.255
CESO_Tk23-7-11,13144,129490,9.852,12.434
CESO_Tk23-8-10,11683,117822,10.085,12.642
CESO_Tk23-9-10,16162,213706,13.223,18.831
CESO_WAT-11-M1,17403,1098256,63.107,106.513
CESO_WAT-12-M2,8071,105538,13.076,15.885
CESO_WAT-16-M1,603,2397,3.975,4.622
CESO_WAT-16-M2,726,2763,3.806,4.142
CESO_WAT-19-M1,7865,62684,7.97,9.817
CESO_WAT-20-M2,10488,65564,6.251,8.637
CESO_WAT-4-M1,1217,5421,4.454,5.278
CESO_WAT-4-M2,4904,23033,4.697,5.534
CESO_WAT-5-M1,1494,7023,4.701,5.193
CESO_WAT-5-M2,9403,105945,11.267,14.53
CESO_WAT-6-M1,82,177,2.159,2.106
CESO_WAT-6-M2,188,213,1.133,1.211
CESO_WAT-7-M1,355,5720,16.113,26.79
CESO_WAT-8-M1,90,405,4.5,5.329
CESO_WAT-9-M1,1340,4740,3.537,3.816
